symbol,name,sector,subSector,headQuarter,founded
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,"Santa Clara, CA",1969-05-01
ANSS,Ansys,Technology,Software - Application,"Canonsburg, PA",1970-01-01
APP,Applovin Corp,Technology,Software - Application,"Palo Alto, CA",2011-07-18
ARM,Arm Holdings,Technology,Semiconductors,"Cambridge, ",1990-11-27
ASML,ASML Holding,Technology,Semiconductors,"Veldhoven, ",1984-01-01
AVGO,Broadcom Inc.,Technology,Semiconductors,"San Jose, CA",1961-01-01
AXON,Axon Enterprise Inc.,Industrials,Aerospace & Defense,"Scottdale, AZ",1993-09-07
AZN,AstraZeneca,Healthcare,Drug Manufacturers - General,"Cambridge, ",1999-04-06
BIIB,Biogen,Healthcare,Drug Manufacturers - General,"Cambridge, MA",1978-01-01
BKNG,Booking Holdings,Consumer Cyclical,Travel Services,"Norwalk, CT",1996-01-01
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, TX",1908-01-01
CCEP,Coca-Cola Europacific Partners,Consumer Defensive,Beverages - Non-Alcoholic,"Uxbridge, ",2016-05-28
CDNS,Cadence Design Systems,Technology,Software - Application,"San Jose, CA",1983-01-01
CDW,CDW Corporation,Technology,Information Technology Services,"Vernon Hills, IL",1984-01-01
CEG,Constellation Energy,Utilities,Renewable Utilities,"Baltimore, MD",1999-01-01
CHTR,Charter Communications,Communication Services,Telecommunications Services,"Stamford, CT",1993-01-01
CMCSA,Comcast,Communication Services,Telecommunications Services,"Philadelphia, PA",1963-06-28
COST,Costco,Consumer Defensive,Discount Stores,"Issaquah, WA",1983-09-15
CPRT,Copart,Consumer Cyclical,Auto - Dealerships,"Dallas, TX",1982-01-01
CRWD,CrowdStrike,Technology,Software - Infrastructure,"Austin, TX",2011-01-01
CSGP,CoStar Group,Real Estate,Real Estate - Services,"Washington, DC",1987-01-01
CSX,CSX Corporation,Industrials,Railroads,"Jacksonville, FL",1980-11-01
CTAS,Cintas,Industrials,Specialty Business Services,"Cincinnati, OH",1929-01-01
CTSH,Cognizant,Technology,Information Technology Services,"Teaneck, NJ",1994-01-26
DASH,DoorDash,Communication Services,Internet Content & Information,"San Francisco, CA",2012-10-01
DDOG,Datadog,Technology,Software - Application,"New York, NY",2010-01-01
DXCM,DexCom,Healthcare,Medical - Devices,"San Diego, CA",1999-01-01
EA,Electronic Arts,Technology,Electronic Gaming & Multimedia,"Redwood City, CA",1982-05-27
EXC,Exelon,Utilities,Regulated Electric,"Chicago, IL",2000-10-20
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, TX",2012-10-12
FAST,Fastenal,Industrials,Industrial - Distribution,"Winona, MN",1967-01-01
FTNT,Fortinet,Technology,Software - Infrastructure,"Sunnyvale, CA",2000-01-01
GEHC,GE HealthCare,Healthcare,Medical - Healthcare Information Services,"Chicago, IL",1994-09-28
GFS,GlobalFoundries,Technology,Semiconductors,"Malta, NY",2009-03-02
GILD,Gilead Sciences,Healthcare,Drug Manufacturers - General,"Foster City, CA",1987-06-22
GOOG,Alphabet Inc. (Class C),Communication Services,Internet Content & Information,"Mountain View, CA",1998-09-04
GOOGL,Alphabet Inc. (Class A),Communication Services,Internet Content & Information,"Mountain View, CA",1998-09-04
IDXX,Idexx Laboratories,Healthcare,Medical - Diagnostics & Research,"Westbrook, ME",1983-01-01
INTC,Intel,Technology,Semiconductors,"Santa Clara, CA",1968-07-18
INTU,Intuit,Technology,Software - Application,"Mountain View, CA",1983-01-01
ISRG,Intuitive Surgical,Healthcare,Medical - Instruments & Supplies,"Sunnyvale, CA",1995-01-01
KDP,Keurig Dr Pepper,Consumer Defensive,Beverages - Non-Alcoholic,"Burlington, MA",1981-01-01
KHC,Kraft Heinz,Consumer Defensive,Packaged Foods,"Pittsburgh, PA",2015-07-02
KLAC,KLA Corporation,Technology,Semiconductors,"Milpitas, CA",1997-01-01
